QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,DTE,STRIKE,C_MID,RF_RATE
2020-09-09,339.78, 2020-10-16,37.0,344.0,7.27,0.0012
2022-06-01,409.64, 2022-06-15,14.0,396.0,17.05,0.011200000000000002
2021-10-05,433.06, 2021-11-08,34.04,428.0,12.775,0.0004
2022-03-04,432.25, 2023-12-15,651.0,500.0,20.75,0.0033
2022-01-21,438.16, 2023-06-16,510.96,370.0,91.57,0.0017000000000000001
2022-04-01,452.92, 2022-06-30,90.0,395.0,62.905,0.0052
2021-12-10,470.68, 2021-12-17,7.0,484.0,0.0849999999999999,0.0006
2020-04-16,278.96, 2021-09-17,519.0,325.0,12.225,0.0014000000000000002
2021-04-30,417.28, 2021-06-11,42.0,430.0,2.595,0.0001
2020-03-19,240.94, 2020-12-31,287.04,249.0,27.44,0.0004
2021-04-28,417.39, 2021-05-05,7.0,418.0,2.16,0.0001
2020-04-02,251.99, 2020-06-30,89.0,280.0,5.64,0.0009
2021-08-27,450.25, 2021-09-20,24.0,390.0,60.6,0.0005
2021-01-04,368.84, 2021-02-19,46.0,320.0,50.865,0.0009
2021-05-21,414.97, 2021-10-15,147.0,510.0,0.135,0.0001
2020-04-06,264.79, 2020-04-29,23.0,170.0,95.22,0.0015
2020-10-16,347.24, 2022-06-17,609.0,240.0,114.25,0.0011
2021-07-22,435.51, 2022-09-16,421.0,240.0,196.425,0.0005
2020-02-20,336.99, 2020-03-11,19.96,357.0,0.01,0.0155
2021-04-29,419.99, 2021-06-18,50.0,304.0,116.29,0.0001
2022-12-02,406.87, 2022-12-13,11.0,360.0,47.345,0.042199999999999994
2022-06-16,366.89, 2022-06-29,13.0,372.0,5.324999999999999,0.0154
2021-12-14,463.45, 2021-12-22,8.0,335.0,128.36,0.0005
2020-10-13,350.17, 2020-10-19,6.0,382.0,0.01,0.0011
2022-09-16,385.65, 2022-09-16,0.0,615.0,0.005,0.031
2020-04-17,286.56, 2020-05-20,33.0,278.0,17.005,0.0012
2022-02-25,437.66, 2022-02-25,0.0,462.0,0.005,0.0033
2022-05-12,392.37, 2022-06-13,32.0,418.0,3.135,0.0095
2020-03-30,261.56, 2020-04-29,30.0,230.0,37.645,0.0012
2021-07-09,435.44, 2023-06-16,707.0,235.0,201.0,0.0006
2020-12-11,366.24, 2020-12-16,5.0,374.0,0.2,0.0008
2022-11-15,398.52, 2023-09-29,317.96,372.0,57.72,0.0414
2020-02-20,336.99, 2020-12-18,302.0,90.0,247.185,0.0155
2020-11-02,330.16, 2021-06-30,239.96,385.0,3.83,0.0009
2020-12-16,370.17, 2021-01-11,26.0,353.0,19.05,0.0009
2020-10-22,344.67, 2021-01-15,85.04,420.0,0.215,0.0009
2021-08-24,447.96, 2021-09-08,15.0,495.0,0.005,0.0005
2022-05-12,392.37, 2022-12-30,232.04,500.0,1.06,0.0095
2020-07-22,326.82, 2020-12-18,149.04,293.0,43.365,0.0013
2021-10-20,452.39, 2022-02-18,121.04,479.0,3.915,0.0005
2022-08-04,414.2, 2022-08-17,13.0,470.0,0.01,0.0241
2021-07-08,430.87, 2021-08-04,27.0,476.0,0.015,0.0006
2020-04-02,251.99, 2020-04-27,25.0,213.0,41.67,0.0009
2020-02-27,297.68, 2020-03-20,21.96,135.0,162.945,0.014199999999999999
2022-01-24,439.88, 2022-03-31,65.96,426.0,26.57,0.002
2020-04-03,247.95, 2020-04-06,3.0,232.0,16.189999999999998,0.001
2022-01-28,441.85, 2022-03-02,33.0,370.0,73.18,0.0019
2021-05-27,419.2, 2022-09-16,477.0,300.0,124.48,0.0002
2021-10-08,437.83, 2021-12-17,70.04,180.0,257.795,0.0005
2020-12-03,366.68, 2021-01-15,43.0,465.0,0.015,0.0008
2021-10-07,438.62, 2022-09-30,358.0,405.0,55.555,0.0005
2020-06-12,304.33, 2020-09-30,110.0,267.0,45.52,0.0016
2022-01-25,434.51, 2023-06-16,506.96,615.0,3.095,0.002
2021-02-09,390.27, 2021-03-08,27.0,290.0,100.43,0.0004
2021-01-28,377.63, 2021-02-08,11.0,411.0,0.015,0.0007000000000000001
2021-11-26,458.97, 2021-12-10,14.0,280.0,178.04000000000002,0.0006
2020-10-16,347.24, 2021-03-19,154.0,333.0,29.72,0.0011
2022-03-18,444.27, 2022-03-21,3.0,323.0,121.61,0.0040999999999999995
2020-07-01,310.6, 2020-08-03,33.0,155.0,155.675,0.0014000000000000002
2020-07-02,312.22, 2020-08-03,32.0,300.0,16.835,0.0014000000000000002
2020-05-29,304.04, 2020-07-17,49.0,218.0,87.12,0.0014000000000000002
2021-09-20,434.01, 2021-10-04,14.0,360.0,74.475,0.0004
2021-12-27,477.26, 2022-02-04,39.0,463.0,19.495,0.0006
2021-02-19,390.03, 2022-01-21,336.0,460.0,4.675,0.0004
2021-03-25,389.62, 2021-04-12,18.0,340.0,49.96,0.0002
2021-10-04,428.7, 2022-12-16,438.04,635.0,0.3249999999999999,0.0004
2021-02-01,376.19, 2021-02-03,2.0,342.0,34.675,0.0007000000000000001
2021-03-10,389.48, 2021-04-16,36.96,336.0,54.05,0.0004
2022-10-12,356.58, 2022-10-24,12.0,440.0,0.015,0.0356
2020-02-04,329.06, 2021-01-15,346.0,360.0,4.72,0.0154
2020-03-30,261.56, 2020-04-08,9.0,284.0,1.0,0.0012
2021-12-28,476.92, 2024-01-19,752.0,385.0,117.5,0.0006
2021-05-05,415.72, 2021-09-17,135.0,303.0,113.965,0.0002
2021-04-29,419.99, 2022-03-18,323.0,460.0,8.850000000000001,0.0001
2022-11-18,396.14, 2022-11-30,12.0,445.0,0.015,0.0415
2020-08-05,332.03, 2021-01-15,163.04,500.0,0.02,0.001
2022-07-27,401.01, 2022-08-05,9.0,359.0,42.47,0.023700000000000002
2022-08-03,414.41, 2022-09-09,37.0,345.0,70.78,0.024399999999999998
2020-12-10,366.77, 2021-02-19,71.0,388.0,2.87,0.0008
2021-05-03,418.17, 2021-06-30,58.0,456.0,0.3,0.0004
2021-08-23,447.27, 2021-10-15,53.0,478.0,0.295,0.0005
2021-06-29,427.69, 2021-09-30,93.0,372.0,58.725,0.0004
2021-10-06,434.9, 2022-12-16,436.04,390.0,67.105,0.0004
2020-09-09,339.78, 2022-12-16,828.04,325.0,49.16,0.0012
2022-05-17,408.26, 2023-01-20,248.04,370.0,56.985,0.0106
2020-03-09,274.48, 2021-09-17,557.0,140.0,136.935,0.0032
2021-09-24,443.92, 2024-01-19,847.04,315.0,141.0,0.0003
2020-05-21,294.84, 2020-11-20,183.04,306.0,15.015,0.0012
2021-01-15,375.67, 2021-12-17,336.0,435.0,5.08,0.0009
2020-09-15,340.12, 2020-09-28,13.0,333.0,9.285,0.0011
2020-04-24,282.89, 2020-05-20,26.0,254.0,31.595,0.0012
2022-11-11,398.61, 2022-12-30,49.0,550.0,0.005,0.0012
2020-07-22,326.82, 2020-12-31,162.04,200.0,127.83,0.0013
2020-11-30,362.31, 2021-06-30,211.96,319.0,52.23,0.0008
2020-01-08,324.39, 2020-03-31,82.96,329.0,5.484999999999999,0.0151
2022-11-17,394.25, 2022-11-23,6.0,440.0,0.005,0.041299999999999996
2022-05-25,397.36, 2022-07-15,51.0,498.0,0.035,0.0105
2020-11-05,350.21, 2021-01-15,71.0,425.0,0.135,0.001
2021-06-08,422.27, 2021-07-06,28.0,485.0,0.005,0.0002
2022-11-15,398.52, 2022-11-15,0.0,395.0,3.625,0.0414
2022-12-20,380.49, 2023-03-17,86.96,185.0,197.585,0.0425
2021-06-07,422.23, 2021-11-19,165.04,580.0,0.03,0.0002
2022-09-19,388.54, 2022-09-21,2.0,344.0,44.41,0.0329
2020-01-09,326.59, 2021-12-17,708.0,319.0,33.29,0.0151
2020-05-12,286.55, 2020-06-26,45.0,290.0,8.825,0.0013
2020-06-05,319.4, 2022-12-16,924.04,260.0,74.735,0.0015
2020-03-23,222.21, 2020-04-06,14.0,325.0,0.015,0.0002
2022-03-04,432.25, 2022-03-11,7.0,456.0,0.075,0.0033
2022-09-21,377.4, 2022-09-21,0.0,422.0,0.01,0.0321
2022-07-15,385.09, 2022-07-18,3.0,364.0,20.87,0.0229
2022-03-23,443.84, 2022-04-01,9.0,483.0,0.005,0.005
2021-12-07,468.29, 2022-02-18,73.0,190.0,278.08000000000004,0.0006
2022-09-19,388.54, 2023-12-15,452.04,630.0,0.525,0.0329
2022-11-09,374.09, 2023-12-15,401.0,645.0,0.185,0.041100000000000005
2022-03-07,419.55, 2022-03-30,22.96,418.0,13.35,0.0038
2022-01-25,434.51, 2022-01-28,3.0,300.0,134.31,0.002
2021-01-12,378.82, 2021-02-05,24.0,398.0,0.605,0.0009
2020-08-21,339.45, 2021-06-30,313.0,273.0,75.225,0.001
2020-03-09,274.48, 2020-03-30,21.0,286.0,7.25,0.0032
2020-08-19,337.13, 2020-08-26,7.0,315.0,22.51,0.0011
2020-09-03,345.53, 2021-09-17,379.0,390.0,11.34,0.0011
2021-07-07,434.5, 2021-07-14,7.0,460.0,0.015,0.0005
2020-07-07,313.75, 2021-09-17,437.0,165.0,149.74,0.0015
2021-11-05,468.53, 2021-11-12,7.04,396.0,72.58,0.0005
2022-09-07,397.79, 2022-09-14,7.0,419.0,0.185,0.0298
2021-01-13,379.75, 2021-04-16,92.96,445.0,0.215,0.0009
2020-09-14,338.44, 2020-12-18,95.04,257.0,82.785,0.0011
2020-08-12,337.43, 2020-09-09,28.0,350.0,1.3250000000000002,0.0011
2022-07-19,392.28, 2022-07-29,10.0,401.0,2.68,0.0246
2022-04-01,452.92, 2022-04-22,21.0,210.0,243.13,0.0052
2022-02-17,437.17, 2022-02-25,8.0,320.0,117.065,0.0037
